Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.470381856	0.000344222	-3.87107e-005	0	1	11:17:22.390	
0.470394492	-0.000417353	-2.23106e-005	1	1	11:17:23.484	
0.470406026	0.000266774	-2.15171e-005	0	1	11:17:24.468	
0.470418572	-0.000339905	-9.08464e-006	1	1	11:17:25.562	
0.470431209	-0.000494802	-1.43751e-005	1	1	11:17:26.656	
0.470443875	0.000589475	-2.07234e-005	0	1	11:17:27.750	
0.470455408	-0.000404445	-1.30525e-005	1	1	11:17:28.734	
0.470467925	-0.00010756	1.07542e-005	1	0	11:17:29.828	
0.470480591	-3.01117e-005	-3.68591e-005	1	1	11:17:30.921	
0.470493257	-0.000365721	-1.12008e-005	1	1	11:17:32.015	
0.47050488	9.89686e-005	-7.233e-006	0	1	11:17:33.000	
0.470517308	-8.17442e-005	-2.9717e-005	1	1	11:17:34.093	
0.470529974	-0.0001721	1.76061e-006	1	0	11:17:35.187	
0.47054261	-4.302e-005	9.69614e-006	1	0	11:17:36.281	
0.470554262	-6.88358e-005	-1.46395e-005	1	1	11:17:37.265	
0.47056669	0.000228049	-1.80783e-005	0	1	11:17:38.359	
0.470579326	-0.000275365	-1.19944e-005	1	1	11:17:39.453	
0.470591992	8.60607e-005	7.57995e-006	0	0	11:17:40.546	
0.470603645	8.60607e-005	-4.26785e-005	0	1	11:17:41.531	
0.470616043	-0.000378629	7.02521e-007	1	0	11:17:42.625	
0.470628709	8.60607e-005	-1.41106e-005	0	1	11:17:43.718	
0.470641375	-0.000481894	-4.02979e-005	1	1	11:17:44.812	
0.470652997	-0.000262457	-7.233e-006	1	1	11:17:45.796	
0.470665425	0.00048621	-2.20461e-005	0	1	11:17:46.890	
0.470678091	-0.000494801	-3.58011e-005	1	1	11:17:47.984	
0.470690727	-5.59279e-005	-1.35814e-005	1	1	11:17:49.078	
0.470702499	8.60607e-005	-3.07751e-005	0	1	11:17:50.062	
0.470714778	-0.000314089	-2.65429e-005	1	1	11:17:51.156	
0.470727444	0.000163509	4.37969e-007	0	0	11:17:52.250	
0.47074011	-0.000120468	-4.37366e-005	1	1	11:17:53.343	
0.470751882	-9.4652e-005	-3.00075e-006	1	1	11:17:54.328	
0.47076416	2.15204e-005	-2.01944e-005	0	1	11:17:55.421	
0.470776826	-0.000197916	2.08059e-005	1	0	11:17:56.515	
0.470789492	3.44287e-005	-1.51686e-005	0	1	11:17:57.609	
0.470801234	-0.000314089	-1.99299e-005	1	1	11:17:58.593	
0.470813543	-1.72038e-005	1.12832e-005	1	0	11:17:59.687	
0.470826179	-0.00010756	-1.51686e-005	1	1	11:18:00.781	
0.470838845	-0.000146284	-3.79429e-006	1	1	11:18:01.875	
0.470850736	6.02445e-005	4.40579e-006	0	0	11:18:02.859	
0.470862895	-0.000352813	-2.73364e-005	1	1	11:18:03.953	
0.470875561	-9.4652e-005	-6.43946e-006	1	1	11:18:05.046	
0.470888227	0.000292589	-4.02979e-005	0	1	11:18:06.140	
0.470900118	-0.000559342	-8.55565e-006	1	1	11:18:07.125	
0.470912278	0.000318406	3.3477e-006	0	0	11:18:08.218	
0.470924914	-0.000339905	-3.31559e-005	1	1	11:18:09.312	
0.47093758	-0.000481894	-6.20125e-007	1	1	11:18:10.406	
0.470949471	0.00042167	-1.3846e-005	0	1	11:18:11.390	
0.47096163	-0.000468985	-1.30525e-005	1	1	11:18:12.484	
0.470974296	-0.00010756	-1.3846e-005	1	1	11:18:13.578	
0.470986962	-0.000133376	-9.87818e-006	1	1	11:18:14.671	
0.470998973	-0.000301181	-4.05884e-006	1	1	11:18:15.656	
0.471011013	8.61248e-006	-5.11693e-006	0	1	11:18:16.750	
0.471023679	-0.000210824	-5.59044e-005	1	1	11:18:17.843	
0.471036315	-0.000159192	-2.0988e-005	1	1	11:18:18.937	
