# t (s), T_Al (K), flux_Al (nm^-2.s^-1), z (nm), x
8.352725834287761586e+01,1.316558356870905527e+03,5.911908552275432216e-01,1.797380600997015065e+01,1.000000000000000000e+00
8.402742156648766070e+01,1.316413839783804633e+03,5.893186882985551600e-01,1.807720836031613842e+01,1.000000000000000000e+00
8.452758479009770554e+01,1.316269310296093863e+03,5.874518774701790180e-01,1.818056835502170543e+01,1.000000000000000000e+00
8.502774801370775037e+01,1.316124767579493437e+03,5.855903985162413949e-01,1.828388611516166051e+01,1.000000000000000000e+00
8.552791123731779521e+01,1.315980211743795962e+03,5.837342393932510864e-01,1.838716176139995184e+01,1.000000000000000000e+00
8.602807446092784005e+01,1.315835642279528656e+03,5.818833801536497097e-01,1.849039541403812237e+01,1.000000000000000000e+00
8.652823768453788489e+01,1.315691058976454315e+03,5.800378047698290240e-01,1.859358719297018681e+01,1.000000000000000000e+00
8.702840090814794394e+01,1.315546461655040503e+03,5.781974976647051845e-01,1.869673721773213870e+01,1.000000000000000000e+00
8.752856413175798878e+01,1.315401849775035544e+03,5.763624387460571930e-01,1.879984560745589661e+01,1.000000000000000000e+00
8.802872735536803361e+01,1.315257223495721973e+03,5.745326168683636547e-01,1.890291248091952525e+01,1.000000000000000000e+00
8.852889057897807845e+01,1.315112581939096117e+03,5.727080078246139516e-01,1.900593795650060613e+01,1.000000000000000000e+00
8.902905380258812329e+01,1.314967925609897065e+03,5.708886049321778566e-01,1.910892215222679624e+01,1.000000000000000000e+00
8.952921702619816813e+01,1.314823253286850104e+03,5.690743798483477445e-01,1.921186518572898549e+01,1.000000000000000000e+00
9.002938024980821297e+01,1.314678565756433272e+03,5.672653295051298672e-01,1.931476717428223466e+01,1.000000000000000000e+00
9.052954347341825780e+01,1.314533861655246710e+03,5.654614239842374879e-01,1.941762823478793365e+01,1.000000000000000000e+00
9.102970669702830264e+01,1.314389141763665748e+03,5.636626602017850152e-01,1.952044848377362030e+01,1.000000000000000000e+00
9.152986992063834748e+01,1.314244404900048721e+03,5.618690107074961748e-01,1.962322803742093669e+01,1.000000000000000000e+00
9.203003314424839232e+01,1.314099651582546812e+03,5.600804692224063963e-01,1.972596701152943766e+01,1.000000000000000000e+00
9.253019636785843716e+01,1.313954880895916403e+03,5.582970117859453740e-01,1.982866552155611473e+01,1.000000000000000000e+00
9.303035959146848199e+01,1.313810093097738672e+03,5.565186289815561294e-01,1.993132368257986542e+01,1.000000000000000000e+00
9.353052281507852683e+01,1.313665287536498226e+03,5.547453002646041131e-01,2.003394160934017521e+01,1.000000000000000000e+00
9.403068603868857167e+01,1.313520464212929483e+03,5.529770131631127628e-01,2.013651941620252117e+01,1.000000000000000000e+00
